region_code,region_name,electricity_kwh_to_currency,natural_gas_kbtu_to_currency,h20_gal_to_currency,co2_lb_to_currency,o3_lb_to_currency,nox_lb_to_currency,pm10_lb_to_currency,sox_lb_to_currency,voc_lb_to_currency
CaNCCoJBK,Northern California Coast,0.1323,0.013048,0.004,0.0075,10.3101,10.3101,11.7901,3.67,7.22
CenFlaXXX,Central Florida,0.13182,0.002678,0.003,0.0034,2.2,2.2,2.1,2.01,1.03
GulfCoCHS,Coastal Plain,0.09339,0.019742,0.00605,0.0075,1.04,1.04,0.76,1.28,1.48
InlEmpCLM,Inland Empire,0.20148,0.0066871,0.0055,0.00334,3.84,3.84,4.63,2.43,1.92
InlValMOD,Inland Valleys,0.1166,0.0125278,0.0078,0.0075,5.0032,12.79,9.41,3.72,4.69
InterWABQ,Interior West,0.078844,0.011,0.005,0.00334,0.61,0.61,1.14,1.42,0.19
LoMidWXXX,Lower Midwest,0.068,0.00973,0.0062,0.00334,0.82,0.82,0.99,1.5,0.3
MidWstMSP,Midwest,0.0759,0.0098,0.0271,0.0075,3.334,3.334,2.84,2.06,3.75
NMtnPrFNL,North,0.636,0.009066,0.0108,0.0075,2.77,2.77,0.49,0.98,2.61
NoEastXXX,Northeast,0.1401,0.01408,0.0008,0.00334,4.59,4.59,8.31,3.48,2.31
PacfNWLOG,Pacific Northwest,0.0512,0.01146,0.02779,0.00334,0.94,0.94,1.67,1.88,0.35
PiedmtCLT,South,0.0759,0.01046,0.0099,0.0075,6.55,6.55,2.49,1.97,6.26
SoCalCSMA,Southern California Coast,0.16281,0.0131,0.00183,0.015,16.44,16.44,51.32,21.47,3.34
SWDsrtGDL,Southwest Desert,0.1208,0.009409,0.0048,0.0075,4,4,6,15.7,4
TpIntWBOI,Temperate Interior West,0.060936,0.0114245,0.005,0.00334,0.51,0.51,0.92,0.06,0.14
TropicPacXXX,Tropical,0.122,0.0235,0.01,0.00334,1.47,1.47,1.34,1.52,0.6